epoch,train_loss,test_loss,train_acc,test_acc
0,1.7931779620040267,1.8112535583662277,0.3878968253968254,0.39718614731516155
1,0.9344808533799372,0.9981717580392283,0.7182539682539683,0.6888528139818282
2,0.5829179539520565,0.6222380734222557,0.810515873015873,0.7838203467073894
3,0.5957925614483277,0.6373947621810938,0.7797619047619048,0.7643398273558843
4,0.5688643504829145,0.6148794746023899,0.8353174603174603,0.8238636368796939
5,0.4307838919578846,0.48339322373985494,0.8095238095238095,0.7935606070927211
6,0.44815301785583617,0.4959414918293955,0.7857142857142857,0.7719155848026276
7,0.4156472417883348,0.4672468379873627,0.8273809523809523,0.8327922083082653
8,0.3979191084886466,0.5019842479765055,0.8640873015873016,0.8446969702130273
9,0.30055736488794893,0.3784095721860245,0.9305555555555556,0.9182900445801871
10,0.3042435764185479,0.4116273407764791,0.8799603174603174,0.8609307365758079
11,0.25957315667864966,0.36910303415097695,0.9255952380952381,0.899621212766284
12,0.2389172774328373,0.3393161027377084,0.8869047619047619,0.8639069270519983
13,0.3441159179270467,0.4671144770219108,0.8779761904761905,0.8446969702130273
14,0.23989517538004507,0.32634802289541365,0.8799603174603174,0.8693181843984694
15,0.3176790833874222,0.4112780701570044,0.8888888888888888,0.866341993922279
16,0.25334859434982926,0.3654139613311572,0.875,0.8668831175281888
17,0.18202244044664725,0.2926735197686521,0.9672619047619048,0.9569805207706633
18,0.19946402008856257,0.2868473981224168,0.935515873015873,0.9169372320175171
19,0.18890785082217523,0.32200570164624503,0.933531746031746,0.905573593718665
20,0.1570483483839186,0.2703403528428872,0.935515873015873,0.9174783556234269
21,0.16009183141566738,0.28963634869242744,0.9751984126984127,0.9629329017230442
22,0.17154526761009176,0.2777303044079751,0.9325396825396826,0.9085497841948554
23,0.16347395820063484,0.26265545599699314,0.9484126984126984,0.932088744072687
24,0.15197214058110065,0.30562254337175104,0.9375,0.9153138541039967
25,0.1890539338424875,0.3375358108155949,0.9166666666666666,0.9066558451879592
26,0.13439738975980547,0.2534770216387769,0.9831349206349206,0.9569805207706633
27,0.1691475684818944,0.2999955142521723,0.939484126984127,0.9080086605889457
28,0.19354151986839555,0.3179665744705483,0.9345238095238095,0.9025974032424745
29,0.1497292746385192,0.270935549073703,0.939484126984127,0.9212662350563776
30,0.13965684181344568,0.2647761891263344,0.9484126984126984,0.9145021651472364
31,0.14995629385616505,0.2960844371121785,0.9384920634920635,0.9080086605889457
