epoch,train_loss,test_loss,train_acc,test_acc
0,1.8055171731343482,1.8043493192677602,0.26964285714285713,0.265625
1,1.040197956782429,1.0370818926036145,0.5973214285714286,0.609375
2,0.7061527102907701,0.740534660100901,0.8258928571428571,0.8125
3,0.6320970767389092,0.6624604824014061,0.8008928571428572,0.8098958333333334
4,0.5642228806089952,0.6079678136002699,0.7982142857142858,0.796875
5,0.4657297712412279,0.5006664459449273,0.8160714285714286,0.8151041666666666
6,0.3890517453827639,0.43371202333946,0.9232142857142858,0.9088541666666666
7,0.39394657318641996,0.4385624923284,0.8919642857142858,0.8854166666666666
8,0.34000954063502187,0.4004107283755071,0.90625,0.8854166666666666
9,0.35547679272055105,0.410996379230445,0.84375,0.8359375
10,0.27381975086117677,0.3055274817133582,0.9258928571428572,0.9192708333333334
11,0.22938844700648217,0.2826947324570261,0.9571428571428572,0.9296875
12,0.19717979029576904,0.26894898625808783,0.9553571428571429,0.9348958333333334
13,0.3214985245623353,0.38127869192467606,0.8946428571428572,0.8776041666666666
14,0.1836549529779671,0.23862365332079735,0.9482142857142857,0.9348958333333334
15,0.12842429995994767,0.1779294315107207,0.9651785714285714,0.9427083333333334
16,0.12573859764114764,0.18522674712595788,0.9625,0.9427083333333334
17,0.14704500706102994,0.1882276549717857,0.9526785714285714,0.9322916666666666
18,0.11666459708500991,0.16614327945149743,0.9669642857142857,0.9427083333333334
19,0.17821980284365022,0.26122067255064124,0.9214285714285714,0.890625
20,0.1256938354572988,0.20933551553989468,0.9580357142857143,0.9375
21,0.12593144817164031,0.1723463896647517,0.9633928571428572,0.9453125
22,0.1298461132151306,0.2070074981392155,0.9625,0.9427083333333334
23,0.11751947956789208,0.18797224527680334,0.9696428571428571,0.9427083333333334
24,0.10969639343385136,0.17656797172881808,0.96875,0.9505208333333334
25,0.09196119869428096,0.15373097756447865,0.9758928571428571,0.9583333333333334
26,0.0962459137609983,0.16374147057182595,0.9767857142857143,0.9583333333333334
27,0.09114729552271975,0.15245145151413417,0.9767857142857143,0.9583333333333334
28,0.08132194280531328,0.15537643958485656,0.9741071428571428,0.953125
29,0.08397319707650941,0.16358069627662652,0.9767857142857143,0.9583333333333334
30,0.10994034708934526,0.1853221175986258,0.96875,0.9479166666666666
31,0.08503231074016075,0.16164819417260576,0.96875,0.9375
32,0.08471750798068463,0.15365595521884998,0.975,0.9453125
33,0.0861241312927142,0.1574434979821595,0.9758928571428571,0.9583333333333334
