epoch,train_loss,test_loss,train_acc,test_acc
0,2.1363884440999015,2.141222321403288,0.4607142857142857,0.4557291666666667
1,1.123847658117176,1.1260069084402415,0.6196428571428572,0.6197916666666666
2,0.8456276765472861,0.8490125741886061,0.675,0.6770833333333334
3,0.5667298523917997,0.63690513135744,0.7901785714285714,0.78125
4,0.42285859016184074,0.532501935575612,0.8705357142857143,0.8385416666666666
5,0.3891381774700874,0.5052185113604193,0.8767857142857143,0.8307291666666666
6,0.3617487105584181,0.4984666029710814,0.8883928571428571,0.8385416666666666
7,0.4278703839161008,0.6057084656612186,0.85625,0.8151041666666666
8,0.2861359913885532,0.46726936758920185,0.9,0.8411458333333334
9,0.2996385967445745,0.5008801248482498,0.8928571428571429,0.8463541666666666
10,0.24789240135505627,0.44732362834467954,0.9241071428571429,0.8463541666666666
11,0.2241823097483019,0.40371304946052283,0.93125,0.8671875
12,0.22873728887327077,0.4243411049937875,0.9125,0.8541666666666666
13,0.20035033578013128,0.4346522171499881,0.9285714285714286,0.8671875
14,0.19523741952764284,0.4232450874765074,0.93125,0.8541666666666666
15,0.17427872102149114,0.3876333710300954,0.9419642857142857,0.8619791666666666
16,0.18313994363420485,0.4301831664949893,0.9321428571428572,0.8723958333333334
17,0.18300818685990677,0.4154599071187184,0.9294642857142857,0.8697916666666666
18,0.1804895187741726,0.4242207320530345,0.9330357142857143,0.859375
19,0.16343004823640764,0.40705878859510264,0.9401785714285714,0.8697916666666666
20,0.14845189584278506,0.38963835161712707,0.9464285714285714,0.859375
21,0.14083242820104935,0.39367062994491353,0.9482142857142857,0.8671875
22,0.14191663276285152,0.3739251007136262,0.95,0.875
23,0.1207062743623157,0.3678540486778515,0.9535714285714286,0.8802083333333334
24,0.12706335721964587,0.39829607545057594,0.9482142857142857,0.8697916666666666
25,0.1253393856021654,0.35274950448310616,0.9544642857142858,0.8776041666666666
26,0.11851986132441457,0.3642601724915802,0.9571428571428572,0.8776041666666666
27,0.12392747008276578,0.37321554299154625,0.9526785714285714,0.8776041666666666
28,0.12133499506031077,0.383521011311811,0.9589285714285715,0.8645833333333334
29,0.11819428635832142,0.3810582320557729,0.9526785714285714,0.8828125
30,0.10933706643430141,0.36984680916062,0.9625,0.890625
31,0.10485204455599545,0.3892808053623364,0.9607142857142857,0.8776041666666666
32,0.15033208554465785,0.4275333832070059,0.9383928571428571,0.8697916666666666
33,0.09437366977832835,0.37828133438371125,0.9660714285714286,0.8958333333333334
34,0.09712213657957315,0.3920194633770564,0.9651785714285714,0.8880208333333334
35,0.10355354243467696,0.40001233046714885,0.9580357142857143,0.8776041666666666
36,0.09080415106401195,0.39065579044414606,0.9705357142857143,0.8802083333333334
37,0.09520013152059688,0.41394413218717574,0.9625,0.875
38,0.08306047524576543,0.3819786075895865,0.9678571428571429,0.8932291666666666
39,0.08101348457275938,0.400941939130119,0.96875,0.8958333333333334
40,0.09287810687131212,0.4261221765916472,0.9633928571428572,0.8802083333333334
41,0.09028602301158076,0.41196439016987246,0.9589285714285715,0.875
42,0.08341436592563954,0.3960608591586981,0.9669642857142857,0.8880208333333334
43,0.0861232125548741,0.40531018581904377,0.9642857142857143,0.8828125
44,0.0770270847334159,0.40362423116860463,0.96875,0.8854166666666666
45,0.07710951071982385,0.4008074231696148,0.96875,0.8828125
46,0.07190776138634375,0.4038033642510171,0.9723214285714286,0.9010416666666666
47,0.07290997683450406,0.4225179183550319,0.9732142857142857,0.9010416666666666
48,0.06604610615847675,0.4019769053127484,0.9767857142857143,0.9036458333333334
49,0.07360833378977537,0.3961212915022803,0.9714285714285714,0.8958333333333334
50,0.06903541632869069,0.41735256124957737,0.9767857142857143,0.8880208333333334
51,0.07215598343839984,0.43750237461493996,0.975,0.8880208333333334
52,0.061020919131530835,0.41617380664508524,0.975,0.8958333333333334
53,0.05860679513697888,0.4311219067005713,0.9767857142857143,0.8880208333333334
54,0.057260933087624366,0.42443539912866474,0.9803571428571428,0.890625
55,0.08015466053359395,0.4721374741980407,0.9714285714285714,0.8697916666666666
56,0.0653992673984453,0.44584142989960623,0.9767857142857143,0.8880208333333334
57,0.08070892356051433,0.46240099325758627,0.9660714285714286,0.8776041666666666
